ConstituentID,Nationality
3647,American
3648,Canadian
3649,American
3650,American
3651,American
3652,American
3653,English
3654,American
3655,American
3656,American
3657,American
3658,American
3659,American
3660,American
3661,American
3662,American
3664,American
3665,American
3666,American
3667,American
3668,American
3669,American
3670,American
3672,American
3673,American
3674,Mexican
3675,American
3676,American
3677,American
3679,American
3680,American
3681,American
3682,American
3683,American
3685,American
3686,American
3687,American
3688,Native American
3689,American
3690,American
3691,American
3692,American
3693,American
3694,American
3695,American
3696,American
3697,American
3698,French
3700,American
3701,American
3703,American
3705,Japanese
3706,Austrian
3708,Brazilian
3710,American
3712,American
3714,American
3715,American
3716,American
3718,American
3719,American
3720,American
3722,American
3723,American
3724,American
3725,Japanese
3726,Japanese
3727,Japanese
3728,American
3729,American
3730,American
3731,American
3732,American
3733,American
3734,American
3735,American
3737,American
3739,American
3740,American
3742,American
3743,American
3744,American
3746,American
3748,German
3750,American
3753,American
3754,American
3755,American
3756,American
3757,Canadian
3758,American
3759,American
3760,American
3761,American
3762,American
3763,American
3764,American
3765,American
3766,American
3767,American
3768,American
3769,American
3770,Italian
3771,American
3772,American
3773,American
3774,American
3775,American
3776,American
3777,American
3778,American
3780,Mexican
3781,American
3782,American
3783,American
3784,American
3786,American
3787,American
3788,American
3789,American
3790,American
3791,American
3792,American
3793,American
3794,American
3796,American
3797,American
3798,American
3799,American
3800,American
3801,American
3802,American
3803,American
3804,American
3805,American
3806,Zimbabwean
3807,American
3808,American
3809,American
3810,American
3811,American
3812,American
3813,Philippine
3814,American
3815,Australian
3816,American
3817,German
3818,American
3819,American
3820,American
3821,Brazilian
3822,English
3823,American
3824,American
3825,American
3826,American
3827,American
3828,American
3829,American
3830,American
3831,American
3832,American
3833,American
3834,American
3835,American
3836,American
3837,American
3838,American
3840,American
3841,American
3842,American
3843,American
3844,American
3845,American
3846,American
3847,American
3848,American
3850,American
3851,American
3852,American
3853,American
3854,American
3855,American
3856,American
3857,American
3858,American
3860,American
3861,American
3863,American
3864,American
3865,American
3866,American
3867,American
3868,American
3870,American
3871,Spanish
3872,South African
3873,American
3874,Spanish
3875,American
3876,American
3877,American
3878,American
3879,American
3880,American
3882,American
3883,American
3884,American
3885,American
3886,Swiss
3887,Mexican
3888,American
3889,Maltese
3890,American
3891,American
3893,American
3895,American
3896,American
3897,American
3898,American
3899,Italian
3900,American
3901,American
3902,American
3903,American
3904,American
3905,Canadian
3906,American
3907,American
3908,English
3909,Scottish
3910,American
3911,American
3913,American
3914,American
3915,American
3916,American
3917,American
3918,American
3919,American
3920,American
3921,American
3922,American
3923,American
3924,American
3925,Scottish
3926,American
3927,American
3929,American
3930,American
3932,American
3933,American
3934,American
3935,American
3936,American
3937,American
3938,American
3940,American
3941,American
3942,American
3943,American
3945,American
3946,American
3947,German
3948,Haitian
3949,Swiss
3950,Swiss
3951,American
3952,American
3953,Canadian
3954,American
3955,American
3956,Canadian
3957,American
3958,American
3959,American
3960,German
3961,Japanese
3963,American
3964,American
3965,American
3966,American
3967,American
3968,American
3969,American
3970,American
3971,Swiss
3972,American
3973,American
3974,American
3975,American
3977,American
3978,American
3979,American
3980,Italian
3981,American
3982,American
3983,American
3984,Dutch
3985,American
3987,American
3988,American
3990,American
3991,American
3992,American
3993,American
3994,American
3995,German
